,Unnamed: 0,year,dur_stay,mode,purpose
325,325,2017,15+  nights,Air,VFR
326,326,2017,15+  nights,Tunnel,VFR
327,327,2017,1-3  nights,Air,Holiday
328,328,2017,1-3  nights,Air,Business
329,329,2017,1-3  nights,Air,VFR
330,330,2017,1-3  nights,Air,Miscellaneous
331,331,2017,1-3  nights,Tunnel,Business
332,332,2017,4-7  nights,Air,Holiday
333,333,2017,4-7  nights,Air,Business
334,334,2017,4-7  nights,Air,VFR
335,335,2017,8-14 nights,Air,Holiday
336,336,2017,8-14 nights,Air,VFR
337,337,2017,15+  nights,Air,Holiday
338,338,2017,15+  nights,Air,VFR
339,339,2017,1-3  nights,Air,Holiday
340,340,2017,1-3  nights,Air,Business
341,341,2017,1-3  nights,Air,VFR
342,342,2017,1-3  nights,Air,Miscellaneous
343,343,2017,4-7  nights,Air,Holiday
344,344,2017,4-7  nights,Air,Business
345,345,2017,4-7  nights,Air,VFR
346,346,2017,4-7  nights,Air,Miscellaneous
347,347,2017,8-14 nights,Air,Holiday
348,348,2017,8-14 nights,Air,VFR
349,349,2017,1-3  nights,Air,Holiday
350,350,2017,1-3  nights,Air,Business
351,351,2017,1-3  nights,Air,VFR
352,352,2017,1-3  nights,Air,Miscellaneous
353,353,2017,1-3  nights,Sea,Business
354,354,2017,1-3  nights,Tunnel,Business
355,355,2017,4-7  nights,Air,Holiday
356,356,2017,4-7  nights,Air,Business
357,357,2017,4-7  nights,Air,VFR
358,358,2017,4-7  nights,Air,Miscellaneous
359,359,2017,8-14 nights,Air,Holiday
360,360,2017,8-14 nights,Air,Business
361,361,2017,8-14 nights,Air,VFR
362,362,2017,15+  nights,Air,Holiday
363,363,2017,15+  nights,Air,Business
364,364,2017,15+  nights,Air,VFR
365,365,2017,1-3  nights,Air,Holiday
366,366,2017,1-3  nights,Air,Business
367,367,2017,1-3  nights,Air,VFR
368,368,2017,1-3  nights,Air,Miscellaneous
369,369,2017,1-3  nights,Tunnel,Holiday
370,370,2017,1-3  nights,Tunnel,Business
371,371,2017,1-3  nights,Tunnel,VFR
372,372,2017,4-7  nights,Air,Holiday
373,373,2017,4-7  nights,Air,Business
374,374,2017,4-7  nights,Air,VFR
375,375,2017,4-7  nights,Air,Miscellaneous
376,376,2017,4-7  nights,Tunnel,Holiday
