,year,Trip_Length_Days,Travel_Type,Reason_for_travel
557,2017,4-7  nights,Air,Business
558,2017,4-7  nights,Air,VFR
559,2017,4-7  nights,Tunnel,Holiday
560,2017,8-14 nights,Air,Holiday
561,2017,8-14 nights,Air,Business
562,2017,8-14 nights,Air,Miscellaneous
563,2017,15+  nights,Air,Holiday
564,2017,15+  nights,Air,Business
565,2017,15+  nights,Air,VFR
566,2017,15+  nights,Air,Study
567,2017,1-3  nights,Air,Holiday
568,2017,1-3  nights,Air,Business
569,2017,1-3  nights,Air,VFR
570,2017,1-3  nights,Air,Miscellaneous
571,2017,1-3  nights,Tunnel,Holiday
572,2017,4-7  nights,Air,Holiday
573,2017,4-7  nights,Tunnel,Holiday
574,2017,8-14 nights,Air,Holiday
575,2017,8-14 nights,Air,VFR
576,2017,8-14 nights,Air,Miscellaneous
577,2017,8-14 nights,Tunnel,VFR
578,2017,15+  nights,Air,VFR
579,2017,15+  nights,Air,Study
580,2017,15+  nights,Air,Miscellaneous
581,2017,1-3  nights,Air,Holiday
582,2017,1-3  nights,Air,Business
583,2017,1-3  nights,Air,VFR
584,2017,1-3  nights,Air,Miscellaneous
585,2017,1-3  nights,Sea,Holiday
586,2017,4-7  nights,Air,Holiday
587,2017,4-7  nights,Air,Business
588,2017,4-7  nights,Air,VFR
589,2017,4-7  nights,Sea,Holiday
590,2017,4-7  nights,Sea,VFR
591,2017,4-7  nights,Tunnel,Holiday
592,2017,8-14 nights,Air,Holiday
593,2017,8-14 nights,Air,Business
594,2017,8-14 nights,Air,VFR
595,2017,8-14 nights,Sea,Holiday
596,2017,8-14 nights,Tunnel,VFR
597,2017,15+  nights,Air,Holiday
598,2017,15+  nights,Air,Business
599,2017,15+  nights,Air,VFR
600,2017,15+  nights,Air,Miscellaneous
601,2017,1-3  nights,Air,Business
602,2017,1-3  nights,Air,VFR
603,2017,1-3  nights,Air,Miscellaneous
604,2017,1-3  nights,Sea,Holiday
605,2017,1-3  nights,Tunnel,Holiday
606,2017,4-7  nights,Air,Holiday
607,2017,4-7  nights,Air,Business
608,2017,4-7  nights,Air,VFR
609,2017,4-7  nights,Sea,Holiday
610,2017,8-14 nights,Air,Holiday
611,2017,8-14 nights,Air,VFR
612,2017,15+  nights,Air,VFR
613,2017,15+  nights,Sea,Study
614,2017,1-3  nights,Air,Holiday
615,2017,1-3  nights,Air,Business
616,2017,1-3  nights,Air,VFR
617,2017,4-7  nights,Air,Holiday
618,2017,4-7  nights,Air,Business
619,2017,4-7  nights,Air,VFR
620,2017,4-7  nights,Air,Study
621,2017,4-7  nights,Air,Miscellaneous
622,2017,8-14 nights,Air,Holiday
623,2017,8-14 nights,Air,Business
624,2017,8-14 nights,Air,VFR
625,2017,15+  nights,Air,Holiday
626,2017,15+  nights,Air,Business
627,2017,15+  nights,Air,VFR
628,2017,1-3  nights,Air,Holiday
629,2017,1-3  nights,Air,Business
630,2017,4-7  nights,Air,Holiday
631,2017,4-7  nights,Air,Business
